level_0,index,Vehicle,All_MPG,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Fuel_Rate,Text2,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType,Year,VehicleBrand,VehicleModel,IsLuxuryBrand
20,20,Nissan Leaf (40 kW-hr battery pack)Automatic (A1),111MPGe12399combined city/hwycityhwy30 kWh/100 mi,111,MPGe,123,99,30 kWh/100 mi,160.0,650,28800,.1 barrels/yr,0 grams/mile,149,Electric Vehicle,2022,Nissan,Leaf (40 kW-hr battery pack)Automatic (A1),No
21,21,Tesla Model Y Performance AWDAutomatic (A1),111MPGe115106combined city/hwycityhwy30 kWh/100 mi,111,MPGe,115,106,30 kWh/100 mi,NA ,650,69990,.1 barrels/yr,0 grams/mile,303,Electric Vehicle,2022,Tesla,Model Y Performance AWDAutomatic (A1),Yes
22,22,Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),111MPGe110111combined city/hwycityhwy30 kWh/100 mi,111,MPGe,110,111,30 kWh/100 mi,NA ,650,0,.1 barrels/yr,0 grams/mile,451,Electric Vehicle,2022,Lucid,Air Dream P AWD w/21 inch wheelsAutomatic (A1),No
23,23,Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),110MPGe12794combined city/hwycityhwy31 kWh/100 mi,110,MPGe,127,94,31 kWh/100 mi,NA ,650,46250,.1 barrels/yr,0 grams/mile,220,Electric Vehicle,2022,Hyundai,Ioniq 5 RWD (Standard Range)Automatic (A1),No
24,24,MINI Cooper SE Hardtop 2 doorAutomatic (A1),110MPGe119100combined city/hwycityhwy31 kWh/100 mi,110,MPGe,119,100,31 kWh/100 mi,NA ,650,0,.1 barrels/yr,0 grams/mile,114,Electric Vehicle,2022,MINI,Cooper SE Hardtop 2 doorAutomatic (A1),No
25,25,BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),109MPGe109108combined city/hwycityhwy31 kWh/100 mi,109,MPGe,109,108,31 kWh/100 mi,NA ,650,55400,.1 barrels/yr,0 grams/mile,301,Electric Vehicle,2022,BMW,i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),Yes
26,26,Nissan Leaf (62 kW-hr battery pack)Automatic (A1),108MPGe11897combined city/hwycityhwy31 kWh/100 mi,108,MPGe,118,97,31 kWh/100 mi,NA ,650,37400,.1 barrels/yr,0 grams/mile,226,Electric Vehicle,2022,Nissan,Leaf (62 kW-hr battery pack)Automatic (A1),No
27,27,Volkswagen ID.4 ProAutomatic (A1),107MPGe11698combined city/hwycityhwy32 kWh/100 mi,107,MPGe,116,98,32 kWh/100 mi,NA ,650,41230,.1 barrels/yr,0 grams/mile,275,Electric Vehicle,2022,Volkswagen,ID.4 ProAutomatic (A1),No
28,28,Polestar 2 Single MotorAutomatic (A1),107MPGe113100combined city/hwycityhwy31 kWh/100 mi,107,MPGe,113,100,31 kWh/100 mi,108.7,650,0,.1 barrels/yr,0 grams/mile,270,Electric Vehicle,2022,Polestar,2 Single MotorAutomatic (A1),Yes
29,29,Kia EV6 AWD (Long Range)Automatic (A1),105MPGe11694combined city/hwycityhwy32 kWh/100 mi,105,MPGe,116,94,32 kWh/100 mi,NA ,650,0,.1 barrels/yr,0 grams/mile,274,Electric Vehicle,2022,Kia,EV6 AWD (Long Range)Automatic (A1),No
30,30,Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),104MPGe11494combined city/hwycityhwy32 kWh/100 mi,104,MPGe,114,94,32 kWh/100 mi,NA ,700,37400,.1 barrels/yr,0 grams/mile,215,Electric Vehicle,2022,Nissan,Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),No
31,31,Ford Mustang Mach-E RWDAutomatic (A1),103MPGe11096combined city/hwycityhwy33 kWh/100 mi,103,MPGe,110,96,33 kWh/100 mi,NA ,700,49100,.1 barrels/yr,0 grams/mile,247,Electric Vehicle,2022,Ford,Mustang Mach-E RWDAutomatic (A1),No
32,32,Volkswagen ID.4 Pro SAutomatic (A1),102MPGe11093combined city/hwycityhwy33 kWh/100 mi,102,MPGe,110,93,33 kWh/100 mi,118.0,700,45730,.1 barrels/yr,0 grams/mile,262,Electric Vehicle,2022,Volkswagen,ID.4 Pro SAutomatic (A1),No
33,33,Tesla Model XAutomatic (A1),102MPGe10797combined city/hwycityhwy33 kWh/100 mi,102,MPGe,107,97,33 kWh/100 mi,NA ,700,120990,.1 barrels/yr,0 grams/mile,348,Electric Vehicle,2022,Tesla,Model XAutomatic (A1),Yes
34,34,Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),101MPGe10894combined city/hwycityhwy33 kWh/100 mi,101,MPGe,108,94,33 kWh/100 mi,NA ,700,52775,.1 barrels/yr,0 grams/mile,314,Electric Vehicle,2022,Ford,Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),No
35,35,Volkswagen ID.4 AWD ProAutomatic (A1),101MPGe10696combined city/hwycityhwy33 kWh/100 mi,101,MPGe,106,96,33 kWh/100 mi,NA ,700,44910,.1 barrels/yr,0 grams/mile,251,Electric Vehicle,2022,Volkswagen,ID.4 AWD ProAutomatic (A1),No
36,36,Mercedes-Benz EQB 300 4maticAutomatic (A1),101MPGe10498combined city/hwycityhwy33 kWh/100 mi,101,MPGe,104,98,33 kWh/100 mi,NA ,700,54500,.1 barrels/yr,0 grams/mile,243,Electric Vehicle,2022,Mercedes-Benz,EQB 300 4maticAutomatic (A1),Yes
37,37,Tesla Model S Plaid (21 inch wheels)Automatic (A1),101MPGe10299combined city/hwycityhwy33 kWh/100 mi,101,MPGe,102,99,33 kWh/100 mi,NA ,700,0,.1 barrels/yr,0 grams/mile,348,Electric Vehicle,2022,Tesla,Model S Plaid (21 inch wheels)Automatic (A1),Yes
38,38,BMW i4 eDrive40 Gran Coupe (19 inch wheels)Automatic (A1),99MPGe10098combined city/hwycityhwy34 kWh/100 mi,99,MPGe,100,98,34 kWh/100 mi,NA ,700,55400,.1 barrels/yr,0 grams/mile,282,Electric Vehicle,2022,BMW,i4 eDrive40 Gran Coupe (19 inch wheels)Automatic (A1),Yes
39,39,Hyundai Ioniq 5 AWD (Long Range)Automatic (A1),98MPGe11087combined city/hwycityhwy34 kWh/100 mi,98,MPGe,110,87,34 kWh/100 mi,113.1,700,55000,.1 barrels/yr,0 grams/mile,256,Electric Vehicle,2022,Hyundai,Ioniq 5 AWD (Long Range)Automatic (A1),No
40,40,Ford Mustang Mach-E CAL RT 1 ER AWDAutomatic (A1),98MPGe10591combined city/hwycityhwy34 kWh/100 mi,98,MPGe,105,91,34 kWh/100 mi,NA ,700,55475,.1 barrels/yr,0 grams/mile,312,Electric Vehicle,2022,Ford,Mustang Mach-E CAL RT 1 ER AWDAutomatic (A1),No
41,41,Tesla Model X Plaid (20 inch wheels)Automatic (A1),98MPGe10393combined city/hwycityhwy34 kWh/100 mi,98,MPGe,103,93,34 kWh/100 mi,NA ,700,138990,.1 barrels/yr,0 grams/mile,333,Electric Vehicle,2022,Tesla,Model X Plaid (20 inch wheels)Automatic (A1),Yes
42,42,Ford Mustang Mach-E RWD ExtendedAutomatic (A1),97MPGe10490combined city/hwycityhwy35 kWh/100 mi,97,MPGe,104,90,35 kWh/100 mi,NA ,750,0,.1 barrels/yr,0 grams/mile,303,Electric Vehicle,2022,Ford,Mustang Mach-E RWD ExtendedAutomatic (A1),No
43,43,Mercedes-Benz EQS 450 PlusAutomatic (A1),97MPGe9797combined city/hwycityhwy35 kWh/100 mi,97,MPGe,97,97,35 kWh/100 mi,NA ,750,102310,.1 barrels/yr,0 grams/mile,350,Electric Vehicle,2022,Mercedes-Benz,EQS 450 PlusAutomatic (A1),Yes
44,44,Mercedes-Benz EQB 350 4maticAutomatic (A1),96MPGe9893combined city/hwycityhwy35 kWh/100 mi,96,MPGe,98,93,35 kWh/100 mi,NA ,750,58050,.1 barrels/yr,0 grams/mile,227,Electric Vehicle,2022,Mercedes-Benz,EQB 350 4maticAutomatic (A1),Yes
45,45,BMW i4 M50 Gran Coupe (19 inch wheels)Automatic (A1),96MPGe9498combined city/hwycityhwy35 kWh/100 mi,96,MPGe,94,98,35 kWh/100 mi,NA ,750,65900,.1 barrels/yr,0 grams/mile,270,Electric Vehicle,2022,BMW,i4 M50 Gran Coupe (19 inch wheels)Automatic (A1),Yes
46,46,Volkswagen ID.4 AWD Pro SAutomatic (A1),95MPGe10090combined city/hwycityhwy35 kWh/100 mi,95,MPGe,100,90,35 kWh/100 mi,NA ,750,49410,.1 barrels/yr,0 grams/mile,245,Electric Vehicle,2022,Volkswagen,ID.4 AWD Pro SAutomatic (A1),No
47,47,Audi Q4 e-tron quattroAutomatic (A1),95MPGe10089combined city/hwycityhwy36 kWh/100 mi,95,MPGe,100,89,36 kWh/100 mi,95.2,750,57500,.1 barrels/yr,0 grams/mile,241,Electric Vehicle,2022,Audi,Q4 e-tron quattroAutomatic (A1),Yes
48,48,Audi Q4 e-tron Sportback quattroAutomatic (A1),95MPGe10089combined city/hwycityhwy36 kWh/100 mi,95,MPGe,100,89,36 kWh/100 mi,NA ,750,60300,.1 barrels/yr,0 grams/mile,241,Electric Vehicle,2022,Audi,Q4 e-tron Sportback quattroAutomatic (A1),Yes
49,49,Mercedes-Benz EQS 580 4maticAutomatic (A1),95MPGe9299combined city/hwycityhwy36 kWh/100 mi,95,MPGe,92,99,36 kWh/100 mi,105.0,750,119110,.1 barrels/yr,0 grams/mile,340,Electric Vehicle,2022,Mercedes-Benz,EQS 580 4maticAutomatic (A1),Yes
50,50,Ford Mustang Mach-E AWDAutomatic (A1),93MPGe9986combined city/hwycityhwy36 kWh/100 mi,93,MPGe,99,86,36 kWh/100 mi,NA ,750,51800,.1 barrels/yr,0 grams/mile,224,Electric Vehicle,2022,Ford,Mustang Mach-E AWDAutomatic (A1),No
51,51,Mazda MX-30Automatic (A1),92MPGe9885combined city/hwycityhwy37 kWh/100 mi,92,MPGe,98,85,37 kWh/100 mi,NA ,750,36480,.1 barrels/yr,0 grams/mile,100,Electric Vehicle,2022,Mazda,MX-30Automatic (A1),No
52,52,Ford Mustang Mach-E AWD ExtendedAutomatic (A1),91MPGe9784combined city/hwycityhwy37 kWh/100 mi,91,MPGe,97,84,37 kWh/100 mi,NA ,800,0,.1 barrels/yr,0 grams/mile,277,Electric Vehicle,2022,Ford,Mustang Mach-E AWD ExtendedAutomatic (A1),No
53,53,Tesla Model X Plaid (22 inch wheels)Automatic (A1),91MPGe9488combined city/hwycityhwy37 kWh/100 mi,91,MPGe,94,88,37 kWh/100 mi,NA ,800,0,.1 barrels/yr,0 grams/mile,311,Electric Vehicle,2022,Tesla,Model X Plaid (22 inch wheels)Automatic (A1),Yes
54,54,Polestar 2 Dual MotorAutomatic (A1),89MPGe9484combined city/hwycityhwy38 kWh/100 mi,89,MPGe,94,84,38 kWh/100 mi,NA ,800,49900,.1 barrels/yr,0 grams/mile,249,Electric Vehicle,2022,Polestar,2 Dual MotorAutomatic (A1),Yes
55,55,Volvo C40 Recharge twinAutomatic (A1),87MPGe9480combined city/hwycityhwy39 kWh/100 mi,87,MPGe,94,80,39 kWh/100 mi,NA ,800,58750,.1 barrels/yr,0 grams/mile,226,Electric Vehicle,2022,Volvo,C40 Recharge twinAutomatic (A1),Yes
56,56,BMW iX xDrive50 (20 inch wheels)Automatic (A1),86MPGe8687combined city/hwycityhwy39 kWh/100 mi,86,MPGe,86,87,39 kWh/100 mi,NA ,800,83200,.1 barrels/yr,0 grams/mile,324,Electric Vehicle,2022,BMW,iX xDrive50 (20 inch wheels)Automatic (A1),Yes
57,57,BMW iX xDrive50 (22 inch wheels)Automatic (A1),86MPGe8685combined city/hwycityhwy39 kWh/100 mi,86,MPGe,86,85,39 kWh/100 mi,NA ,800,83200,.1 barrels/yr,0 grams/mile,315,Electric Vehicle,2022,BMW,iX xDrive50 (22 inch wheels)Automatic (A1),Yes
58,58,Volvo XC40 Recharge twinAutomatic (A1),85MPGe9279combined city/hwycityhwy39 kWh/100 mi,85,MPGe,92,79,39 kWh/100 mi,NA ,850,58150,.1 barrels/yr,0 grams/mile,223,Electric Vehicle,2022,Volvo,XC40 Recharge twinAutomatic (A1),Yes
59,59,Ford Mustang Mach-E GTAutomatic (A1),84MPGe9077combined city/hwycityhwy40 kWh/100 mi,84,MPGe,90,77,40 kWh/100 mi,NA ,850,61995,.1 barrels/yr,0 grams/mile,270,Electric Vehicle,2022,Ford,Mustang Mach-E GTAutomatic (A1),No
60,60,Porsche Taycan GTSAutomatic (A2),83MPGe8382combined city/hwycityhwy41 kWh/100 mi,83,MPGe,83,82,41 kWh/100 mi,NA ,850,131400,.1 barrels/yr,0 grams/mile,246,Electric Vehicle,2022,Porsche,Taycan GTSAutomatic (A2),Yes
61,61,BMW iX xDrive50 (21 inch wheels)Automatic (A1),83MPGe8284combined city/hwycityhwy41 kWh/100 mi,83,MPGe,82,84,41 kWh/100 mi,NA ,850,83200,.1 barrels/yr,0 grams/mile,305,Electric Vehicle,2022,BMW,iX xDrive50 (21 inch wheels)Automatic (A1),Yes
62,62,Ford Mustang Mach-E GT PerformanceAutomatic (A1),82MPGe8875combined city/hwycityhwy41 kWh/100 mi,82,MPGe,88,75,41 kWh/100 mi,NA ,850,0,.1 barrels/yr,0 grams/mile,260,Electric Vehicle,2022,Ford,Mustang Mach-E GT PerformanceAutomatic (A1),No
63,63,Audi e-tron GTAutomatic (A2),82MPGe8183combined city/hwycityhwy41 kWh/100 mi,82,MPGe,81,83,41 kWh/100 mi,NA ,850,109600,.1 barrels/yr,0 grams/mile,238,Electric Vehicle,2022,Audi,e-tron GTAutomatic (A2),Yes
64,64,Audi RS e-tron GTAutomatic (A2),81MPGe7982combined city/hwycityhwy42 kWh/100 mi,81,MPGe,79,82,42 kWh/100 mi,NA ,900,142400,.1 barrels/yr,0 grams/mile,232,Electric Vehicle,2022,Audi,RS e-tron GTAutomatic (A2),Yes
65,65,Porsche Taycan GTS STAutomatic (A2),80MPGe8080combined city/hwycityhwy42 kWh/100 mi,80,MPGe,80,80,42 kWh/100 mi,NA ,900,133300,.1 barrels/yr,0 grams/mile,233,Electric Vehicle,2022,Porsche,Taycan GTS STAutomatic (A2),Yes
66,66,BMW i4 M50 Gran Coupe (20 inch wheels)Automatic (A1),80MPGe7980combined city/hwycityhwy42 kWh/100 mi,80,MPGe,79,80,42 kWh/100 mi,NA ,900,65900,.1 barrels/yr,0 grams/mile,227,Electric Vehicle,2022,BMW,i4 M50 Gran Coupe (20 inch wheels)Automatic (A1),Yes
67,67,Porsche Taycan 4S Perf BatteryAutomatic (A2),79MPGe7980combined city/hwycityhwy42 kWh/100 mi,79,MPGe,79,80,42 kWh/100 mi,NA ,900,103800,.1 barrels/yr,0 grams/mile,199,Electric Vehicle,2022,Porsche,Taycan 4S Perf BatteryAutomatic (A2),Yes
68,68,Porsche Taycan Perf BatteryAutomatic (A2),79MPGe7684combined city/hwycityhwy42 kWh/100 mi,79,MPGe,76,84,42 kWh/100 mi,NA ,900,82700,.1 barrels/yr,0 grams/mile,200,Electric Vehicle,2022,Porsche,Taycan Perf BatteryAutomatic (A2),Yes
69,69,Audi e-tron quattroAutomatic (A1),78MPGe7877combined city/hwycityhwy43 kWh/100 mi,78,MPGe,78,77,43 kWh/100 mi,NA ,900,83400,.1 barrels/yr,0 grams/mile,222,Electric Vehicle,2022,Audi,e-tron quattroAutomatic (A1),Yes
70,70,Audi e-tron Sportback quattroAutomatic (A1),77MPGe7678combined city/hwycityhwy44 kWh/100 mi,77,MPGe,76,78,44 kWh/100 mi,NA ,900,0,.1 barrels/yr,0 grams/mile,218,Electric Vehicle,2022,Audi,e-tron Sportback quattroAutomatic (A1),Yes
71,71,Mercedes-Benz AMG EQS 4matic PlusAutomatic (A1),77MPGe7678combined city/hwycityhwy44 kWh/100 mi,77,MPGe,76,78,44 kWh/100 mi,NA ,900,147500,.1 barrels/yr,0 grams/mile,277,Electric Vehicle,2022,Mercedes-Benz,AMG EQS 4matic PlusAutomatic (A1),Yes
72,72,Porsche Taycan 4S Perf Battery PlusAutomatic (A2),77MPGe7581combined city/hwycityhwy43 kWh/100 mi,77,MPGe,75,81,43 kWh/100 mi,NA ,900,0,.1 barrels/yr,0 grams/mile,227,Electric Vehicle,2022,Porsche,Taycan 4S Perf Battery PlusAutomatic (A2),Yes
73,73,Porsche Taycan 4 Cross TurismoAutomatic (A2),76MPGe7677combined city/hwycityhwy44 kWh/100 mi,76,MPGe,76,77,44 kWh/100 mi,NA ,950,93700,.1 barrels/yr,0 grams/mile,215,Electric Vehicle,2022,Porsche,Taycan 4 Cross TurismoAutomatic (A2),Yes
74,74,Porsche Taycan 4S Cross TurismoAutomatic (A2),75MPGe7575combined city/hwycityhwy45 kWh/100 mi,75,MPGe,75,75,45 kWh/100 mi,NA ,950,0,.1 barrels/yr,0 grams/mile,215,Electric Vehicle,2022,Porsche,Taycan 4S Cross TurismoAutomatic (A2),Yes
75,75,Audi e-tron S Sportback (20 inch wheels)Automatic (A1),75MPGe7378combined city/hwycityhwy45 kWh/100 mi,75,MPGe,73,78,45 kWh/100 mi,NA ,950,0,.1 barrels/yr,0 grams/mile,212,Electric Vehicle,2022,Audi,e-tron S Sportback (20 inch wheels)Automatic (A1),Yes
76,76,Porsche Taycan Perf Battery PlusAutomatic (A2),75MPGe7180combined city/hwycityhwy45 kWh/100 mi,75,MPGe,71,80,45 kWh/100 mi,NA ,950,0,.1 barrels/yr,0 grams/mile,225,Electric Vehicle,2022,Porsche,Taycan Perf Battery PlusAutomatic (A2),Yes
77,77,Porsche Taycan Turbo S Cross TurismoAutomatic (A2),73MPGe7473combined city/hwycityhwy46 kWh/100 mi,73,MPGe,74,73,46 kWh/100 mi,NA ,950,0,.1 barrels/yr,0 grams/mile,202,Electric Vehicle,2022,Porsche,Taycan Turbo S Cross TurismoAutomatic (A2),Yes
78,78,Audi e-tron S (20in wheels)Automatic (A1),73MPGe7275combined city/hwycityhwy46 kWh/100 mi,73,MPGe,72,75,46 kWh/100 mi,NA ,950,89800,.1 barrels/yr,0 grams/mile,208,Electric Vehicle,2022,Audi,e-tron S (20in wheels)Automatic (A1),Yes
79,79,Porsche Taycan TurboAutomatic (A2),73MPGe7175combined city/hwycityhwy46 kWh/100 mi,73,MPGe,71,75,46 kWh/100 mi,NA ,950,0,.1 barrels/yr,0 grams/mile,212,Electric Vehicle,2022,Porsche,Taycan TurboAutomatic (A2),Yes
80,80,Porsche Taycan Turbo Cross TurismoAutomatic (A2),72MPGe7272combined city/hwycityhwy47 kWh/100 mi,72,MPGe,72,72,47 kWh/100 mi,NA ,1000,0,.1 barrels/yr,0 grams/mile,204,Electric Vehicle,2022,Porsche,Taycan Turbo Cross TurismoAutomatic (A2),Yes
81,81,Ford F-150 Lightning 4WD Extended RangeAutomatic (A1),70MPGe7863combined city/hwycityhwy48 kWh/100 mi,70,MPGe,78,63,48 kWh/100 mi,NA ,1000,90874,.1 barrels/yr,0 grams/mile,320,Electric Vehicle,2022,Ford,F-150 Lightning 4WD Extended RangeAutomatic (A1),No
82,82,Rivian R1TAutomatic (A1),70MPGe7466combined city/hwycityhwy48 kWh/100 mi,70,MPGe,74,66,48 kWh/100 mi,84.3,1000,73000,.1 barrels/yr,0 grams/mile,314,Electric Vehicle,2022,Rivian,R1TAutomatic (A1),No
83,83,Porsche Taycan Turbo SAutomatic (A2),70MPGe6971combined city/hwycityhwy48 kWh/100 mi,70,MPGe,69,71,48 kWh/100 mi,NA ,1000,0,.1 barrels/yr,0 grams/mile,201,Electric Vehicle,2022,Porsche,Taycan Turbo SAutomatic (A2),Yes
84,84,Rivian R1SAutomatic (A1),69MPGe7365combined city/hwycityhwy49 kWh/100 mi,69,MPGe,73,65,49 kWh/100 mi,101.1,1000,0,.1 barrels/yr,0 grams/mile,316,Electric Vehicle,2022,Rivian,R1SAutomatic (A1),No
85,85,Ford F-150 Lightning 4WDAutomatic (A1),68MPGe7661combined city/hwycityhwy49 kWh/100 mi,68,MPGe,76,61,49 kWh/100 mi,NA ,1050,90874,.1 barrels/yr,0 grams/mile,230,Electric Vehicle,2022,Ford,F-150 Lightning 4WDAutomatic (A1),No
86,86,Ford F-150 Lightning Platinum 4WDAutomatic (A1),66MPGe7360combined city/hwycityhwy51 kWh/100 mi,66,MPGe,73,60,51 kWh/100 mi,NA ,1050,90874,.1 barrels/yr,0 grams/mile,300,Electric Vehicle,2022,Ford,F-150 Lightning Platinum 4WDAutomatic (A1),No
87,87,Audi e-tron S Sportback (21/22 inch wheels)Automatic (A1),65MPGe6466combined city/hwycityhwy52 kWh/100 mi,65,MPGe,64,66,52 kWh/100 mi,NA ,1100,92400,.1 barrels/yr,0 grams/mile,185,Electric Vehicle,2022,Audi,e-tron S Sportback (21/22 inch wheels)Automatic (A1),Yes
88,88,Audi e-tron S (21/22 inch wheels)Automatic (A1),63MPGe6264combined city/hwycityhwy53 kWh/100 mi,63,MPGe,62,64,53 kWh/100 mi,NA ,1100,0,.1 barrels/yr,0 grams/mile,181,Electric Vehicle,2022,Audi,e-tron S (21/22 inch wheels)Automatic (A1),Yes
