Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Ford Mustang 2.3 L, 4 cyl, Automatic (S10), Turbo, Regular Gasoline",,25MPG2132combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,32,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,100","$27,470 – $43,065",11.9 barrels/yr,354 grams/mile, 398 milesTotal Range
"2022 Cadillac CT4 2.7 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,25MPG2131combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,31,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,600","$33,695 – $39,795",11.9 barrels/yr,356 grams/mile, 425 milesTotal Range
"2022 Lexus IS 300 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,25MPG2131combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,31,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,600","$39,125",11.9 barrels/yr,356 grams/mile, 435 milesTotal Range
"2022 Lexus RC 300 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,25MPG2131combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,31,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,600","$42,820 – $47,290",11.9 barrels/yr,356 grams/mile, 435 milesTotal Range
"2022 Toyota GR 86 2.4 L, 4 cyl, Automatic (S6), Premium Gasoline",,25MPG2131combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,31,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,600","$27,700 – $31,800",11.9 barrels/yr,360 grams/mile, 310 milesTotal Range
"2022 Subaru BRZ 2.4 L, 4 cyl, Automatic (S6), Premium Gasoline",,25MPG2130combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,30,,combined city/hwy,city,hwy,4.0 gal/100 mi,NA,,"$2,600","$27,995 – $32,295",11.9 barrels/yr,362 grams/mile,Range not available
"2022 Volvo XC90 T5 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,25MPG2130combined city/hwycityhwy4.0 gal/100 mi,,25,MPG,21,30,,combined city/hwy,city,hwy,4.0 gal/100 mi,16.0,,"$2,600","$50,900",11.9 barrels/yr,361 grams/mile, 470 milesTotal Range
"2022 Kia Sorento AWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,24MPG2325combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,23,25,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$31,390 – $43,190",12.4 barrels/yr,366 grams/mile, 425 milesTotal Range
"2022 Cadillac XT4 AWD 2.0 L, 4 cyl, Automatic (S9), Turbo, Premium Gasoline",,24MPG2229combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$38,295 – $42,395",12.4 barrels/yr,364 grams/mile, 391 milesTotal Range
"2022 Cadillac XT5 FWD 2.0 L, 4 cyl, Automatic (S9), Turbo, Premium Gasoline",,24MPG2229combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$43,995 – $48,795",12.4 barrels/yr,370 grams/mile, 456 milesTotal Range
"2022 Acura RDX FWD 2.0 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,24MPG2228combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$40,600 – $43,250",12.4 barrels/yr,370 grams/mile, 410 milesTotal Range
"2022 Alfa Romeo Stelvio AWD 2.0 L, 4 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,24MPG2228combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$47,550 – $84,650",12.4 barrels/yr,364 grams/mile, 406 milesTotal Range
"2022 Genesis GV70 AWD 2.5 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2228combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$41,500 – $53,100",12.4 barrels/yr,368 grams/mile, 418 milesTotal Range
"2022 Volvo XC60 B5 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2228combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$44,950 – $52,450",12.4 barrels/yr,360 grams/mile, 451 milesTotal Range
"2022 Acura RDX FWD A-SPEC 2.0 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$46,250",12.4 barrels/yr,375 grams/mile, 410 milesTotal Range
"2022 Chevrolet Blazer AWD 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$36,100 – $44,000",12.4 barrels/yr,368 grams/mile, 521 milesTotal Range
"2022 GMC Acadia AWD 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,26.0,,"$2,200","$37,100 – $48,600",12.4 barrels/yr,368 grams/mile, 521 milesTotal Range
"2022 Jaguar F-Pace 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$50,900 – $54,000",12.4 barrels/yr,365 grams/mile, 526 milesTotal Range
"2022 Jeep Renegade Trailhawk 4WD 1.3 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$30,945",12.4 barrels/yr,372 grams/mile, 305 milesTotal Range
"2022 Kia Sorento AWD 2.5 L, 4 cyl, Automatic (AM-S8), Turbo, Regular Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$31,390 – $43,190",12.4 barrels/yr,377 grams/mile, 425 milesTotal Range
"2022 Mazda CX-5 4WD 2.5 L, 4 cyl, Automatic (S6), Turbo, Regular Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,23.0,,"$2,200","$26,250 – $39,000",12.4 barrels/yr,370 grams/mile, 367 milesTotal Range
"2022 Mercedes-Benz GLC300 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Premium Gasoline",,24MPG2227combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$43,850",12.4 barrels/yr,373 grams/mile, 418 milesTotal Range
"2022 Subaru Outback Wilderness AWD 2.4 L, 4 cyl, Automatic (AV-S8), Turbo, Regular Gasoline",,24MPG2226combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,26,,combined city/hwy,city,hwy,4.2 gal/100 mi,22.2,,"$2,200","$37,695",12.4 barrels/yr,377 grams/mile, 444 milesTotal Range
"2022 Hyundai Santa Fe AWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,24MPG2225combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,22,25,,combined city/hwy,city,hwy,4.2 gal/100 mi,26.2,,"$2,200","$29,400",12.4 barrels/yr,378 grams/mile, 451 milesTotal Range
"2022 Genesis G70 RWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2131combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,31,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$37,775 – $52,750",12.4 barrels/yr,367 grams/mile, 379 milesTotal Range
"2022 Audi S4 3.0 L, 6 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2130combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,30,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$51,900 – $60,200",12.4 barrels/yr,363 grams/mile, 367 milesTotal Range
"2022 Audi S5 Coupe 3.0 L, 6 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2130combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,30,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$55,300 – $63,400",12.4 barrels/yr,363 grams/mile, 367 milesTotal Range
"2022 Audi S5 Sportback 3.0 L, 6 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2130combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,30,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$55,300 – $63,700",12.4 barrels/yr,363 grams/mile, 367 milesTotal Range
"2022 Mercedes-Benz C300 4matic Convertible 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Premium Gasoline",,24MPG2130combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,30,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$57,400",12.4 barrels/yr,361 grams/mile, 418 milesTotal Range
"2022 Acura TLX AWD 2.0 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$41,100 – $49,900",12.4 barrels/yr,369 grams/mile, 382 milesTotal Range
"2022 Acura TLX AWD A-SPEC 2.0 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$47,850",12.4 barrels/yr,371 grams/mile, 382 milesTotal Range
"2022 Cadillac CT4 AWD 2.7 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700", ,12.4 barrels/yr,375 grams/mile, 408 milesTotal Range
"2022 Ford Mustang 2.3 L, 4 cyl, Manual 6-spd, Turbo, Regular Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$27,470 – $43,065",12.4 barrels/yr,373 grams/mile, 382 milesTotal Range
"2022 Jeep Cherokee 4WD 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$31,495 – $39,345",12.4 barrels/yr,369 grams/mile, 379 milesTotal Range
"2022 Jeep Cherokee 4WD 2.4 L, 4 cyl, Automatic 9-spd, Regular Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$31,495 – $39,345",12.4 barrels/yr,370 grams/mile, 379 milesTotal Range
"2022 Kia Stinger AWD 2.5 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$38,490 – $53,690",12.4 barrels/yr,380 grams/mile, 382 milesTotal Range
"2022 Lincoln Corsair AWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Regular Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$38,880 – $43,710",12.4 barrels/yr,369 grams/mile, 389 milesTotal Range
"2022 Mercedes-Benz AMG CLA35 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$47,900",12.4 barrels/yr,366 grams/mile, 324 milesTotal Range
"2022 Mercedes-Benz E350 4matic 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Premium Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$57,450",12.4 barrels/yr,366 grams/mile, 418 milesTotal Range
"2022 Toyota Highlander 3.5 L, 6 cyl, Automatic (S8), Regular Gasoline",,24MPG2129combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,29,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$35,855 – $48,010",12.4 barrels/yr,372 grams/mile, 430 milesTotal Range
"2022 Audi Q3 S line quattro 2.0 L, 4 cyl, Automatic (S8), Turbo, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$38,700 – $42,000",12.4 barrels/yr,375 grams/mile, 382 milesTotal Range
"2022 BMW X3 xDrive30i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,24.6,,"$2,700","$45,700",12.4 barrels/yr,370 grams/mile, 413 milesTotal Range
"2022 BMW X4 xDrive30i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$51,800",12.4 barrels/yr,370 grams/mile, 413 milesTotal Range
"2022 Ford Explorer RWD 2.3 L, 4 cyl, Automatic 10-spd, Turbo, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$35,510 – $53,775",12.4 barrels/yr,370 grams/mile, 430 milesTotal Range
"2022 Hyundai Santa Fe AWD 2.5 L, 4 cyl, Automatic (AM-S8), Turbo, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,26.6,,"$2,200","$29,400",12.4 barrels/yr,375 grams/mile, 451 milesTotal Range
"2022 Lincoln Corsair AWD 2.3 L, 4 cyl, Automatic (S8), Turbo, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$38,880 – $43,710",12.4 barrels/yr,371 grams/mile, 389 milesTotal Range
"2022 Mercedes-Benz C300 Convertible 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Premium Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$55,400",12.4 barrels/yr,373 grams/mile, 418 milesTotal Range
"2022 Mercedes-Benz GLC300 4matic 2.0 L, 4 cyl, Automatic 9-spd, Turbo, Premium Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$45,850",12.4 barrels/yr,374 grams/mile, 418 milesTotal Range
"2022 Ram Promaster City 2.4 L, 4 cyl, Automatic 9-spd, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$30,475 – $30,970",12.4 barrels/yr,374 grams/mile, 386 milesTotal Range
"2022 Volkswagen Tiguan R-Line 4motion 2.0 L, 4 cyl, Automatic (S8), Turbo, Regular Gasoline",,24MPG2128combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,28,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,200","$34,450 – $37,320",12.4 barrels/yr,369 grams/mile, 382 milesTotal Range
"2022 Porsche 718 Boxster 2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,24MPG2127combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$62,600",12.4 barrels/yr,375 grams/mile, 341 milesTotal Range
"2022 Porsche 718 Cayman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,24MPG2127combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$60,500",12.4 barrels/yr,375 grams/mile, 341 milesTotal Range
"2022 Volvo XC60 B6 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium Gasoline",,24MPG2127combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,21,27,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$55,100 – $56,450",12.4 barrels/yr,373 grams/mile, 451 milesTotal Range
"2022 Nissan Maxima 3.5 L, 6 cyl, Automatic (AV-S7), Premium Gasoline",,24MPG2030combined city/hwycityhwy4.2 gal/100 mi,,24,MPG,20,30,,combined city/hwy,city,hwy,4.2 gal/100 mi,NA,,"$2,700","$37,840 – $43,150",12.4 barrels/yr,370 grams/mile, 432 milesTotal Range
