Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Nissan Leaf (40 kW-hr battery pack)Automatic (A1), Electricity",,111MPGe12399combined city/hwycityhwy30 kWh/100 mi,,111,MPGe,123,99,,combined city/hwy,city,hwy,30 kWh/100 mi,160.0,,$650,"$27,400– $28,800",.1 barrels/yr,0 grams/mile, 149 milesTotal Range,Electric Vehicle
"2022 Tesla Model Y Performance AWDAutomatic (A1), Electricity",,111MPGe115106combined city/hwycityhwy30 kWh/100 mi,,111,MPGe,115,106,,combined city/hwy,city,hwy,30 kWh/100 mi,NA ,,$650,"$69,990",.1 barrels/yr,0 grams/mile, 303 milesTotal Range,Electric Vehicle
"2022 Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1), Electricity",,111MPGe110111combined city/hwycityhwy30 kWh/100 mi,,111,MPGe,110,111,,combined city/hwy,city,hwy,30 kWh/100 mi,NA ,,$650, ,.1 barrels/yr,0 grams/mile, 451 milesTotal Range,Electric Vehicle
"2022 Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1), Electricity",,110MPGe12794combined city/hwycityhwy31 kWh/100 mi,,110,MPGe,127,94,,combined city/hwy,city,hwy,31 kWh/100 mi,NA ,,$650,"$39,950– $46,250",.1 barrels/yr,0 grams/mile, 220 milesTotal Range,Electric Vehicle
"2022 MINI Cooper SE Hardtop 2 doorAutomatic (A1), Electricity",,110MPGe119100combined city/hwycityhwy31 kWh/100 mi,,110,MPGe,119,100,,combined city/hwy,city,hwy,31 kWh/100 mi,NA ,,$650, ,.1 barrels/yr,0 grams/mile, 114 milesTotal Range,Electric Vehicle
"2022 BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1), Electricity",,109MPGe109108combined city/hwycityhwy31 kWh/100 mi,,109,MPGe,109,108,,combined city/hwy,city,hwy,31 kWh/100 mi,NA ,,$650,"$55,400",.1 barrels/yr,0 grams/mile, 301 milesTotal Range,Electric Vehicle
"2022 Nissan Leaf (62 kW-hr battery pack)Automatic (A1), Electricity",,108MPGe11897combined city/hwycityhwy31 kWh/100 mi,,108,MPGe,118,97,,combined city/hwy,city,hwy,31 kWh/100 mi,NA ,,$650,"$32,400– $37,400",.1 barrels/yr,0 grams/mile, 226 milesTotal Range,Electric Vehicle
"2022 Volkswagen ID.4 ProAutomatic (A1), Electricity",,107MPGe11698combined city/hwycityhwy32 kWh/100 mi,,107,MPGe,116,98,,combined city/hwy,city,hwy,32 kWh/100 mi,NA ,,$650,"$41,230",.1 barrels/yr,0 grams/mile, 275 milesTotal Range,Electric Vehicle
"2022 Polestar 2 Single MotorAutomatic (A1), Electricity",,107MPGe113100combined city/hwycityhwy31 kWh/100 mi,,107,MPGe,113,100,,combined city/hwy,city,hwy,31 kWh/100 mi,108.7,,$650, ,.1 barrels/yr,0 grams/mile, 270 milesTotal Range,Electric Vehicle
"2022 Kia EV6 AWD (Long Range)Automatic (A1), Electricity",,105MPGe11694combined city/hwycityhwy32 kWh/100 mi,,105,MPGe,116,94,,combined city/hwy,city,hwy,32 kWh/100 mi,NA ,,$650, ,.1 barrels/yr,0 grams/mile, 274 milesTotal Range,Electric Vehicle
"2022 Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1), Electricity",,104MPGe11494combined city/hwycityhwy32 kWh/100 mi,,104,MPGe,114,94,,combined city/hwy,city,hwy,32 kWh/100 mi,NA ,,$700,"$28,800– $37,400",.1 barrels/yr,0 grams/mile, 215 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E RWDAutomatic (A1), Electricity",,103MPGe11096combined city/hwycityhwy33 kWh/100 mi,,103,MPGe,110,96,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700,"$43,895– $49,100",.1 barrels/yr,0 grams/mile, 247 milesTotal Range,Electric Vehicle
"2022 Volkswagen ID.4 Pro SAutomatic (A1), Electricity",,102MPGe11093combined city/hwycityhwy33 kWh/100 mi,,102,MPGe,110,93,,combined city/hwy,city,hwy,33 kWh/100 mi,118.0,,$700,"$45,730",.1 barrels/yr,0 grams/mile, 262 milesTotal Range,Electric Vehicle
"2022 Tesla Model XAutomatic (A1), Electricity",,102MPGe10797combined city/hwycityhwy33 kWh/100 mi,,102,MPGe,107,97,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700,"$120,990",.1 barrels/yr,0 grams/mile, 348 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1), Electricity",,101MPGe10894combined city/hwycityhwy33 kWh/100 mi,,101,MPGe,108,94,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700,"$52,775",.1 barrels/yr,0 grams/mile, 314 milesTotal Range,Electric Vehicle
"2022 Volkswagen ID.4 AWD ProAutomatic (A1), Electricity",,101MPGe10696combined city/hwycityhwy33 kWh/100 mi,,101,MPGe,106,96,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700,"$44,910",.1 barrels/yr,0 grams/mile, 251 milesTotal Range,Electric Vehicle
"2022 Mercedes-Benz EQB 300 4maticAutomatic (A1), Electricity",,101MPGe10498combined city/hwycityhwy33 kWh/100 mi,,101,MPGe,104,98,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700,"$54,500",.1 barrels/yr,0 grams/mile, 243 milesTotal Range,Electric Vehicle
"2022 Tesla Model S Plaid (21 inch wheels)Automatic (A1), Electricity",,101MPGe10299combined city/hwycityhwy33 kWh/100 mi,,101,MPGe,102,99,,combined city/hwy,city,hwy,33 kWh/100 mi,NA ,,$700, ,.1 barrels/yr,0 grams/mile, 348 milesTotal Range,Electric Vehicle
"2022 BMW i4 eDrive40 Gran Coupe (19 inch wheels)Automatic (A1), Electricity",,99MPGe10098combined city/hwycityhwy34 kWh/100 mi,,99,MPGe,100,98,,combined city/hwy,city,hwy,34 kWh/100 mi,NA ,,$700,"$55,400",.1 barrels/yr,0 grams/mile, 282 milesTotal Range,Electric Vehicle
"2022 Hyundai Ioniq 5 AWD (Long Range)Automatic (A1), Electricity",,98MPGe11087combined city/hwycityhwy34 kWh/100 mi,,98,MPGe,110,87,,combined city/hwy,city,hwy,34 kWh/100 mi,113.1,,$700,"$47,500– $55,000",.1 barrels/yr,0 grams/mile, 256 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E CAL RT 1 ER AWDAutomatic (A1), Electricity",,98MPGe10591combined city/hwycityhwy34 kWh/100 mi,,98,MPGe,105,91,,combined city/hwy,city,hwy,34 kWh/100 mi,NA ,,$700,"$55,475",.1 barrels/yr,0 grams/mile, 312 milesTotal Range,Electric Vehicle
"2022 Tesla Model X Plaid (20 inch wheels)Automatic (A1), Electricity",,98MPGe10393combined city/hwycityhwy34 kWh/100 mi,,98,MPGe,103,93,,combined city/hwy,city,hwy,34 kWh/100 mi,NA ,,$700,"$138,990",.1 barrels/yr,0 grams/mile, 333 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E RWD ExtendedAutomatic (A1), Electricity",,97MPGe10490combined city/hwycityhwy35 kWh/100 mi,,97,MPGe,104,90,,combined city/hwy,city,hwy,35 kWh/100 mi,NA ,,$750, ,.1 barrels/yr,0 grams/mile, 303 milesTotal Range,Electric Vehicle
"2022 Mercedes-Benz EQS 450 PlusAutomatic (A1), Electricity",,97MPGe9797combined city/hwycityhwy35 kWh/100 mi,,97,MPGe,97,97,,combined city/hwy,city,hwy,35 kWh/100 mi,NA ,,$750,"$102,310",.1 barrels/yr,0 grams/mile, 350 milesTotal Range,Electric Vehicle
"2022 Mercedes-Benz EQB 350 4maticAutomatic (A1), Electricity",,96MPGe9893combined city/hwycityhwy35 kWh/100 mi,,96,MPGe,98,93,,combined city/hwy,city,hwy,35 kWh/100 mi,NA ,,$750,"$58,050",.1 barrels/yr,0 grams/mile, 227 milesTotal Range,Electric Vehicle
"2022 BMW i4 M50 Gran Coupe (19 inch wheels)Automatic (A1), Electricity",,96MPGe9498combined city/hwycityhwy35 kWh/100 mi,,96,MPGe,94,98,,combined city/hwy,city,hwy,35 kWh/100 mi,NA ,,$750,"$65,900",.1 barrels/yr,0 grams/mile, 270 milesTotal Range,Electric Vehicle
"2022 Volkswagen ID.4 AWD Pro SAutomatic (A1), Electricity",,95MPGe10090combined city/hwycityhwy35 kWh/100 mi,,95,MPGe,100,90,,combined city/hwy,city,hwy,35 kWh/100 mi,NA ,,$750,"$49,410",.1 barrels/yr,0 grams/mile, 245 milesTotal Range,Electric Vehicle
"2022 Audi Q4 e-tron quattroAutomatic (A1), Electricity",,95MPGe10089combined city/hwycityhwy36 kWh/100 mi,,95,MPGe,100,89,,combined city/hwy,city,hwy,36 kWh/100 mi,95.2,,$750,"$49,900– $57,500",.1 barrels/yr,0 grams/mile, 241 milesTotal Range,Electric Vehicle
"2022 Audi Q4 e-tron Sportback quattroAutomatic (A1), Electricity",,95MPGe10089combined city/hwycityhwy36 kWh/100 mi,,95,MPGe,100,89,,combined city/hwy,city,hwy,36 kWh/100 mi,NA ,,$750,"$52,700– $60,300",.1 barrels/yr,0 grams/mile, 241 milesTotal Range,Electric Vehicle
"2022 Mercedes-Benz EQS 580 4maticAutomatic (A1), Electricity",,95MPGe9299combined city/hwycityhwy36 kWh/100 mi,,95,MPGe,92,99,,combined city/hwy,city,hwy,36 kWh/100 mi,105.0,,$750,"$119,110",.1 barrels/yr,0 grams/mile, 340 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E AWDAutomatic (A1), Electricity",,93MPGe9986combined city/hwycityhwy36 kWh/100 mi,,93,MPGe,99,86,,combined city/hwy,city,hwy,36 kWh/100 mi,NA ,,$750,"$46,595– $51,800",.1 barrels/yr,0 grams/mile, 224 milesTotal Range,Electric Vehicle
"2022 Mazda MX-30Automatic (A1), Electricity",,92MPGe9885combined city/hwycityhwy37 kWh/100 mi,,92,MPGe,98,85,,combined city/hwy,city,hwy,37 kWh/100 mi,NA ,,$750,"$33,470– $36,480",.1 barrels/yr,0 grams/mile, 100 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E AWD ExtendedAutomatic (A1), Electricity",,91MPGe9784combined city/hwycityhwy37 kWh/100 mi,,91,MPGe,97,84,,combined city/hwy,city,hwy,37 kWh/100 mi,NA ,,$800, ,.1 barrels/yr,0 grams/mile, 277 milesTotal Range,Electric Vehicle
"2022 Tesla Model X Plaid (22 inch wheels)Automatic (A1), Electricity",,91MPGe9488combined city/hwycityhwy37 kWh/100 mi,,91,MPGe,94,88,,combined city/hwy,city,hwy,37 kWh/100 mi,NA ,,$800, ,.1 barrels/yr,0 grams/mile, 311 milesTotal Range,Electric Vehicle
"2022 Polestar 2 Dual MotorAutomatic (A1), Electricity",,89MPGe9484combined city/hwycityhwy38 kWh/100 mi,,89,MPGe,94,84,,combined city/hwy,city,hwy,38 kWh/100 mi,NA ,,$800,"$49,900",.1 barrels/yr,0 grams/mile, 249 milesTotal Range,Electric Vehicle
"2022 Volvo C40 Recharge twinAutomatic (A1), Electricity",,87MPGe9480combined city/hwycityhwy39 kWh/100 mi,,87,MPGe,94,80,,combined city/hwy,city,hwy,39 kWh/100 mi,NA ,,$800,"$58,750",.1 barrels/yr,0 grams/mile, 226 milesTotal Range,Electric Vehicle
"2022 BMW iX xDrive50 (20 inch wheels)Automatic (A1), Electricity",,86MPGe8687combined city/hwycityhwy39 kWh/100 mi,,86,MPGe,86,87,,combined city/hwy,city,hwy,39 kWh/100 mi,NA ,,$800,"$83,200",.1 barrels/yr,0 grams/mile, 324 milesTotal Range,Electric Vehicle
"2022 BMW iX xDrive50 (22 inch wheels)Automatic (A1), Electricity",,86MPGe8685combined city/hwycityhwy39 kWh/100 mi,,86,MPGe,86,85,,combined city/hwy,city,hwy,39 kWh/100 mi,NA ,,$800,"$83,200",.1 barrels/yr,0 grams/mile, 315 milesTotal Range,Electric Vehicle
"2022 Volvo XC40 Recharge twinAutomatic (A1), Electricity",,85MPGe9279combined city/hwycityhwy39 kWh/100 mi,,85,MPGe,92,79,,combined city/hwy,city,hwy,39 kWh/100 mi,NA ,,$850,"$51,700– $58,150",.1 barrels/yr,0 grams/mile, 223 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E GTAutomatic (A1), Electricity",,84MPGe9077combined city/hwycityhwy40 kWh/100 mi,,84,MPGe,90,77,,combined city/hwy,city,hwy,40 kWh/100 mi,NA ,,$850,"$61,995",.1 barrels/yr,0 grams/mile, 270 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan GTSAutomatic (A2), Electricity",,83MPGe8382combined city/hwycityhwy41 kWh/100 mi,,83,MPGe,83,82,,combined city/hwy,city,hwy,41 kWh/100 mi,NA ,,$850,"$131,400",.1 barrels/yr,0 grams/mile, 246 milesTotal Range,Electric Vehicle
"2022 BMW iX xDrive50 (21 inch wheels)Automatic (A1), Electricity",,83MPGe8284combined city/hwycityhwy41 kWh/100 mi,,83,MPGe,82,84,,combined city/hwy,city,hwy,41 kWh/100 mi,NA ,,$850,"$83,200",.1 barrels/yr,0 grams/mile, 305 milesTotal Range,Electric Vehicle
"2022 Ford Mustang Mach-E GT PerformanceAutomatic (A1), Electricity",,82MPGe8875combined city/hwycityhwy41 kWh/100 mi,,82,MPGe,88,75,,combined city/hwy,city,hwy,41 kWh/100 mi,NA ,,$850, ,.1 barrels/yr,0 grams/mile, 260 milesTotal Range,Electric Vehicle
"2022 Audi e-tron GTAutomatic (A2), Electricity",,82MPGe8183combined city/hwycityhwy41 kWh/100 mi,,82,MPGe,81,83,,combined city/hwy,city,hwy,41 kWh/100 mi,NA ,,$850,"$102,400– $109,600",.1 barrels/yr,0 grams/mile, 238 milesTotal Range,Electric Vehicle
"2022 Audi RS e-tron GTAutomatic (A2), Electricity",,81MPGe7982combined city/hwycityhwy42 kWh/100 mi,,81,MPGe,79,82,,combined city/hwy,city,hwy,42 kWh/100 mi,NA ,,$900,"$142,400",.1 barrels/yr,0 grams/mile, 232 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan GTS STAutomatic (A2), Electricity",,80MPGe8080combined city/hwycityhwy42 kWh/100 mi,,80,MPGe,80,80,,combined city/hwy,city,hwy,42 kWh/100 mi,NA ,,$900,"$133,300",.1 barrels/yr,0 grams/mile, 233 milesTotal Range,Electric Vehicle
"2022 BMW i4 M50 Gran Coupe (20 inch wheels)Automatic (A1), Electricity",,80MPGe7980combined city/hwycityhwy42 kWh/100 mi,,80,MPGe,79,80,,combined city/hwy,city,hwy,42 kWh/100 mi,NA ,,$900,"$65,900",.1 barrels/yr,0 grams/mile, 227 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan 4S Perf BatteryAutomatic (A2), Electricity",,79MPGe7980combined city/hwycityhwy42 kWh/100 mi,,79,MPGe,79,80,,combined city/hwy,city,hwy,42 kWh/100 mi,NA ,,$900,"$103,800",.1 barrels/yr,0 grams/mile, 199 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan Perf BatteryAutomatic (A2), Electricity",,79MPGe7684combined city/hwycityhwy42 kWh/100 mi,,79,MPGe,76,84,,combined city/hwy,city,hwy,42 kWh/100 mi,NA ,,$900,"$82,700",.1 barrels/yr,0 grams/mile, 200 milesTotal Range,Electric Vehicle
"2022 Audi e-tron quattroAutomatic (A1), Electricity",,78MPGe7877combined city/hwycityhwy43 kWh/100 mi,,78,MPGe,78,77,,combined city/hwy,city,hwy,43 kWh/100 mi,NA ,,$900,"$65,900– $83,400",.1 barrels/yr,0 grams/mile, 222 milesTotal Range,Electric Vehicle
"2022 Audi e-tron Sportback quattroAutomatic (A1), Electricity",,77MPGe7678combined city/hwycityhwy44 kWh/100 mi,,77,MPGe,76,78,,combined city/hwy,city,hwy,44 kWh/100 mi,NA ,,$900, ,.1 barrels/yr,0 grams/mile, 218 milesTotal Range,Electric Vehicle
"2022 Mercedes-Benz AMG EQS 4matic PlusAutomatic (A1), Electricity",,77MPGe7678combined city/hwycityhwy44 kWh/100 mi,,77,MPGe,76,78,,combined city/hwy,city,hwy,44 kWh/100 mi,NA ,,$900,"$147,500",.1 barrels/yr,0 grams/mile, 277 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan 4S Perf Battery PlusAutomatic (A2), Electricity",,77MPGe7581combined city/hwycityhwy43 kWh/100 mi,,77,MPGe,75,81,,combined city/hwy,city,hwy,43 kWh/100 mi,NA ,,$900, ,.1 barrels/yr,0 grams/mile, 227 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan 4 Cross TurismoAutomatic (A2), Electricity",,76MPGe7677combined city/hwycityhwy44 kWh/100 mi,,76,MPGe,76,77,,combined city/hwy,city,hwy,44 kWh/100 mi,NA ,,$950,"$93,700",.1 barrels/yr,0 grams/mile, 215 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan 4S Cross TurismoAutomatic (A2), Electricity",,75MPGe7575combined city/hwycityhwy45 kWh/100 mi,,75,MPGe,75,75,,combined city/hwy,city,hwy,45 kWh/100 mi,NA ,,$950, ,.1 barrels/yr,0 grams/mile, 215 milesTotal Range,Electric Vehicle
"2022 Audi e-tron S Sportback (20 inch wheels)Automatic (A1), Electricity",,75MPGe7378combined city/hwycityhwy45 kWh/100 mi,,75,MPGe,73,78,,combined city/hwy,city,hwy,45 kWh/100 mi,NA ,,$950, ,.1 barrels/yr,0 grams/mile, 212 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan Perf Battery PlusAutomatic (A2), Electricity",,75MPGe7180combined city/hwycityhwy45 kWh/100 mi,,75,MPGe,71,80,,combined city/hwy,city,hwy,45 kWh/100 mi,NA ,,$950, ,.1 barrels/yr,0 grams/mile, 225 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan Turbo S Cross TurismoAutomatic (A2), Electricity",,73MPGe7473combined city/hwycityhwy46 kWh/100 mi,,73,MPGe,74,73,,combined city/hwy,city,hwy,46 kWh/100 mi,NA ,,$950, ,.1 barrels/yr,0 grams/mile, 202 milesTotal Range,Electric Vehicle
"2022 Audi e-tron S (20in wheels)Automatic (A1), Electricity",,73MPGe7275combined city/hwycityhwy46 kWh/100 mi,,73,MPGe,72,75,,combined city/hwy,city,hwy,46 kWh/100 mi,NA ,,$950,"$84,800– $89,800",.1 barrels/yr,0 grams/mile, 208 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan TurboAutomatic (A2), Electricity",,73MPGe7175combined city/hwycityhwy46 kWh/100 mi,,73,MPGe,71,75,,combined city/hwy,city,hwy,46 kWh/100 mi,NA ,,$950, ,.1 barrels/yr,0 grams/mile, 212 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan Turbo Cross TurismoAutomatic (A2), Electricity",,72MPGe7272combined city/hwycityhwy47 kWh/100 mi,,72,MPGe,72,72,,combined city/hwy,city,hwy,47 kWh/100 mi,NA ,,"$1,000", ,.1 barrels/yr,0 grams/mile, 204 milesTotal Range,Electric Vehicle
"2022 Ford F-150 Lightning 4WD Extended RangeAutomatic (A1), Electricity",,70MPGe7863combined city/hwycityhwy48 kWh/100 mi,,70,MPGe,78,63,,combined city/hwy,city,hwy,48 kWh/100 mi,NA ,,"$1,000","$39,974– $90,874",.1 barrels/yr,0 grams/mile, 320 milesTotal Range,Electric Vehicle
"2022 Rivian R1TAutomatic (A1), Electricity",,70MPGe7466combined city/hwycityhwy48 kWh/100 mi,,70,MPGe,74,66,,combined city/hwy,city,hwy,48 kWh/100 mi,84.3,,"$1,000","$67,500– $73,000",.1 barrels/yr,0 grams/mile, 314 milesTotal Range,Electric Vehicle
"2022 Porsche Taycan Turbo SAutomatic (A2), Electricity",,70MPGe6971combined city/hwycityhwy48 kWh/100 mi,,70,MPGe,69,71,,combined city/hwy,city,hwy,48 kWh/100 mi,NA ,,"$1,000", ,.1 barrels/yr,0 grams/mile, 201 milesTotal Range,Electric Vehicle
"2022 Rivian R1SAutomatic (A1), Electricity",,69MPGe7365combined city/hwycityhwy49 kWh/100 mi,,69,MPGe,73,65,,combined city/hwy,city,hwy,49 kWh/100 mi,101.1,,"$1,000", ,.1 barrels/yr,0 grams/mile, 316 milesTotal Range,Electric Vehicle
"2022 Ford F-150 Lightning 4WDAutomatic (A1), Electricity",,68MPGe7661combined city/hwycityhwy49 kWh/100 mi,,68,MPGe,76,61,,combined city/hwy,city,hwy,49 kWh/100 mi,NA ,,"$1,050","$39,974– $90,874",.1 barrels/yr,0 grams/mile, 230 milesTotal Range,Electric Vehicle
"2022 Ford F-150 Lightning Platinum 4WDAutomatic (A1), Electricity",,66MPGe7360combined city/hwycityhwy51 kWh/100 mi,,66,MPGe,73,60,,combined city/hwy,city,hwy,51 kWh/100 mi,NA ,,"$1,050","$39,974– $90,874",.1 barrels/yr,0 grams/mile, 300 milesTotal Range,Electric Vehicle
