Vehicle,Blank1,All_MPG,Blank2,Combined_MPGe,MPGe_Type,Blank3,Blank4,Blank5,TextCombined,Blank6,Blank7,ElectricCarSpecs,Blank8,Combined_MPG,MPGType,Blank9,Blank0,Blank11,TextCombined2,Blank12,Blank13,GasCarSpec,Blank14,Blank15,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Lincoln Corsair AWD PHEV2.5 L, 4 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",,Gas & Electric78MPGe  combined city/hwy.0 gal/100 mi of gas+ 43 kWh/100 miReg. Gas33MPG  combined city/hwy3.0 gal/100 mi ,,78,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 43 kWh/100 mi,,33,MPG, , ,,combined city/hwy,,,3.0 gal/100 mi ,76.0,,"$1,200","$51,810",4.0 barrels/yr,117 grams/mile, 28 miles Elec + GasAll Elec: 0-28 mi430 miles Total Range ,Plug In Hybrid
"2022 Hyundai Santa Fe Plug-in Hybrid1.6 L, 4 cyl, Automatic (AM-S6), Turbo, Regular Gas and Electricity",,Gas & Electric76MPGe  combined city/hwy.0 gal/100 mi of gas+ 44 kWh/100 miReg. Gas33MPG  combined city/hwy3.0 gal/100 mi ,,76,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 44 kWh/100 mi,,33,MPG, , ,,combined city/hwy,,,3.0 gal/100 mi ,,,"$1,200","$40,000  – $46,010",3.8 barrels/yr,111 grams/mile, 31 miles Elec + GasAll Elec: 0-30 mi440 miles Total Range ,Plug In Hybrid
"2022 Chrysler Pacifica Hybrid3.6 L, 6 cyl, Automatic (variable gear ratios), Regular Gas and Electricity",,Gas & Electric82MPGe  combined city/hwy.0 gal/100 mi of gas+ 41 kWh/100 miReg. Gas30MPG  combined city/hwy3.3 gal/100 mi ,,82,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 41 kWh/100 mi,,30,MPG, , ,,combined city/hwy,,,3.3 gal/100 mi ,75.9,,"$1,250","$49,000  – $58,050",4.0 barrels/yr,119 grams/mile, 32 miles Elec + GasAll Elec: 0-32 mi520 miles Total Range ,Plug In Hybrid
"2022 Volvo S90 T8 AWD Recharge ext. Range2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric66MPGe  combined city/hwy.1 gal/100 mi of gas+ 48 kWh/100 miPrem. Gas29MPG  combined city/hwy3.4 gal/100 mi ,,66,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 48 kWh/100 mi,,29,MPG, , ,,combined city/hwy,,,3.4 gal/100 mi ,,,"$1,450","$62,050",3.5 barrels/yr,110 grams/mile, 38 miles Elec + GasAll Elec: 0-38 mi500 miles Total Range ,Plug In Hybrid
"2022 Volvo XC60 T8 AWD Recharge ext. Range2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric63MPGe  combined city/hwy.1 gal/100 mi of gas+ 50 kWh/100 miPrem. Gas28MPG  combined city/hwy3.6 gal/100 mi ,,63,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 50 kWh/100 mi,,28,MPG, , ,,combined city/hwy,,,3.6 gal/100 mi ,,,"$1,550","$54,750  – $70,000",3.9 barrels/yr,122 grams/mile, 36 miles Elec + GasAll Elec: 0-35 mi560 miles Total Range ,Plug In Hybrid
"2022 Volvo XC90 T8 AWD Recharge ext. Range2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric66MPGe  combined city/hwy.1 gal/100 mi of gas+ 49 kWh/100 miPrem. Gas26MPG  combined city/hwy3.8 gal/100 mi ,,66,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 49 kWh/100 mi,,26,MPG, , ,,combined city/hwy,,,3.8 gal/100 mi ,27.4,,"$1,600","$65,800  – $72,600",4.2 barrels/yr,131 grams/mile, 36 miles Elec + GasAll Elec: 0-35 mi530 miles Total Range ,Plug In Hybrid
"2022 Audi A7 TFSI e quattro2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium and Electricity",,Gas & Electric70MPGe  combined city/hwy.0 gal/100 mi of gas+ 48 kWh/100 miPrem. Gas27MPG  combined city/hwy3.7 gal/100 mi ,,70,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 48 kWh/100 mi,,27,MPG, , ,,combined city/hwy,,,3.7 gal/100 mi ,,,"$1,550","$75,900  – $81,250",4.3 barrels/yr,126 grams/mile, 26 miles Elec + GasAll Elec: 0-26 mi410 miles Total Range ,Plug In Hybrid
"2022 Volvo S60 T8 AWD Recharge2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium and Electricity",,Gas & Electric69MPGe  combined city/hwy.1 gal/100 mi of gas+ 47 kWh/100 miPrem. Gas30MPG  combined city/hwy3.3 gal/100 mi ,,69,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 47 kWh/100 mi,,30,MPG, , ,,combined city/hwy,,,3.3 gal/100 mi ,,,"$1,600","$47,650  – $50,650",5.1 barrels/yr,155 grams/mile, 22 miles Elec + GasAll Elec: 0-22 mi510 miles Total Range ,Plug In Hybrid
"2022 Volvo V60 T8 AWD Recharge2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium and Electricity",,Gas & Electric69MPGe  combined city/hwy.1 gal/100 mi of gas+ 47 kWh/100 miPrem. Gas30MPG  combined city/hwy3.3 gal/100 mi ,,69,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 47 kWh/100 mi,,30,MPG, , ,,combined city/hwy,,,3.3 gal/100 mi ,,,"$1,600","$67,300",5.1 barrels/yr,155 grams/mile, 22 miles Elec + GasAll Elec: 0-22 mi510 miles Total Range ,Plug In Hybrid
"2022 Volvo S90 T8 AWD Recharge2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium and Electricity",,Gas & Electric63MPGe  combined city/hwy.1 gal/100 mi of gas+ 51 kWh/100 miPrem. Gas30MPG  combined city/hwy3.3 gal/100 mi ,,63,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 51 kWh/100 mi,,30,MPG, , ,,combined city/hwy,,,3.3 gal/100 mi ,,,"$1,700","$61,050",5.4 barrels/yr,164 grams/mile, 21 miles Elec + GasAll Elec: 0-21 mi490 miles Total Range ,Plug In Hybrid
