Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 GMC Sierra Cab Chassis 4WD 5.3 L, 8 cyl, Automatic 8-spd, Regular Gasoline",,15MPG1417combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,14,17,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550", ,19.8 barrels/yr,589 grams/mile,Range not available
"2022 GMC Sierra Mud Terrain Tires 4WD 5.3 L, 8 cyl, Automatic 10-spd, Regular Gasoline",,15MPG1417combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,14,17,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550", ,19.8 barrels/yr,580 grams/mile, 360 milesTotal Range
"2022 Ford F150 RAPTOR 37 4WD 3.5 L, 6 cyl, Automatic (S10), Turbo, Regular Gasoline",,15MPG1416combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,14,16,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$3,550", ,19.8 barrels/yr,596 grams/mile, 390 milesTotal Range
"2022 Cadillac CT5 V 6.2 L, 8 cyl, Manual 6-spd, Supercharger, Premium Gasoline",,15MPG1321combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,21,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$50,095",19.8 barrels/yr,573 grams/mile, 255 milesTotal Range
"2022 Dodge Challenger SRT Widebody 6.2 L, 8 cyl, Automatic 8-spd, Supercharger, Premium Gasoline",,15MPG1321combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,21,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$75,040 – $84,640",19.8 barrels/yr,572 grams/mile, 278 milesTotal Range
"2022 Audi R8 Coupe 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$199,800",19.8 barrels/yr,572 grams/mile, 290 milesTotal Range
"2022 Audi R8 Spyder 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$213,500",19.8 barrels/yr,572 grams/mile, 316 milesTotal Range
"2022 Dodge Durango SRT AWD 6.4 L, 8 cyl, Automatic 8-spd, Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$54,555 – $68,960",19.8 barrels/yr,584 grams/mile, 369 milesTotal Range
"2022 Infiniti QX80 4WD 5.6 L, 8 cyl, Automatic (S7), Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$75,050 – $86,200",19.8 barrels/yr,592 grams/mile, 390 milesTotal Range
"2022 Infiniti QX80 4WD 5.6 L, 8 cyl, Automatic (S7), Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$75,050 – $86,200",19.8 barrels/yr,593 grams/mile, 390 milesTotal Range
"2022 Jeep Grand Wagoneer 2WD 6.4 L, 8 cyl, Automatic 8-spd, Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350", ,19.8 barrels/yr,595 grams/mile, 398 milesTotal Range
"2022 Land Rover Range Rover LWB SVA 5.0 L, 8 cyl, Automatic (S8), Supercharger, Premium Gasoline",,15MPG1319combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,19,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$215,200",19.8 barrels/yr,587 grams/mile, 412 milesTotal Range
