Vehicle,PaymentYear,TotalPayment
Hyundai Kona ElectricAutomatic (A1),2,18200.0
Hyundai Kona ElectricAutomatic (A1),3,27300.0
Hyundai Kona ElectricAutomatic (A1),4,36400.0
Hyundai Kona ElectricAutomatic (A1),5,45500.0
Hyundai Kona ElectricAutomatic (A1),6,46100.0
Hyundai Kona ElectricAutomatic (A1),7,46700.0
Hyundai Kona ElectricAutomatic (A1),8,47300.0
Hyundai Kona ElectricAutomatic (A1),9,47900.0
Hyundai Kona ElectricAutomatic (A1),10,48500.0
Hyundai Kona ElectricAutomatic (A1),11,49100.0
Hyundai Kona ElectricAutomatic (A1),12,49700.0
Chevrolet Bolt EVAutomatic (variable gear ratios),1,7440.0
Chevrolet Bolt EVAutomatic (variable gear ratios),2,14880.0
Chevrolet Bolt EVAutomatic (variable gear ratios),3,22320.0
Chevrolet Bolt EVAutomatic (variable gear ratios),4,29760.0
Chevrolet Bolt EVAutomatic (variable gear ratios),5,37200.0
Chevrolet Bolt EVAutomatic (variable gear ratios),6,37800.0
Chevrolet Bolt EVAutomatic (variable gear ratios),7,38400.0
Chevrolet Bolt EVAutomatic (variable gear ratios),8,39000.0
Chevrolet Bolt EVAutomatic (variable gear ratios),9,39600.0
Chevrolet Bolt EVAutomatic (variable gear ratios),10,40200.0
Chevrolet Bolt EVAutomatic (variable gear ratios),11,40800.0
Chevrolet Bolt EVAutomatic (variable gear ratios),12,41400.0
Tesla Model SAutomatic (A1),1,21598.0
Tesla Model SAutomatic (A1),2,43196.0
Tesla Model SAutomatic (A1),3,64794.0
Tesla Model SAutomatic (A1),4,86392.0
Tesla Model SAutomatic (A1),5,107990.0
Tesla Model SAutomatic (A1),6,108590.0
Tesla Model SAutomatic (A1),7,109190.0
Tesla Model SAutomatic (A1),8,109790.0
Tesla Model SAutomatic (A1),9,110390.0
Tesla Model SAutomatic (A1),10,110990.0
Tesla Model SAutomatic (A1),11,111590.0
Tesla Model SAutomatic (A1),12,112190.0
Kia EV6 RWD (Standard Range)Automatic (A1),1,600.0
Kia EV6 RWD (Standard Range)Automatic (A1),2,1200.0
Kia EV6 RWD (Standard Range)Automatic (A1),3,1800.0
Kia EV6 RWD (Standard Range)Automatic (A1),4,2400.0
Kia EV6 RWD (Standard Range)Automatic (A1),5,3000.0
Kia EV6 RWD (Standard Range)Automatic (A1),6,3600.0
Kia EV6 RWD (Standard Range)Automatic (A1),7,4200.0
Kia EV6 RWD (Standard Range)Automatic (A1),8,4800.0
Kia EV6 RWD (Standard Range)Automatic (A1),9,5400.0
Kia EV6 RWD (Standard Range)Automatic (A1),10,6000.0
Kia EV6 RWD (Standard Range)Automatic (A1),11,6600.0
Kia EV6 RWD (Standard Range)Automatic (A1),12,7200.0
Kia EV6 RWD (Long Range)Automatic (A1),1,600.0
Kia EV6 RWD (Long Range)Automatic (A1),2,1200.0
Kia EV6 RWD (Long Range)Automatic (A1),3,1800.0
Kia EV6 RWD (Long Range)Automatic (A1),4,2400.0
Kia EV6 RWD (Long Range)Automatic (A1),5,3000.0
