Vehicle,PaymentYear,TotalPayment
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",3,31470.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",4,41960.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",5,52450.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",6,54650.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",7,56850.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",8,59050.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",9,61250.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",10,63450.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",11,65650.0
"BMW 330i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",12,67850.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",1,8098.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",2,16196.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",3,24294.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",4,32392.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",5,40490.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",6,42240.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",7,43990.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",8,45740.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",9,47490.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",10,49240.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",11,50990.0
"Nissan Altima AWD 2.5 L, 4 cyl, Automatic (variable gear ratios)",12,52740.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",1,8169.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",2,16338.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",3,24507.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",4,32676.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",5,40845.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",6,42595.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",7,44345.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",8,46095.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",9,47845.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",10,49595.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",11,51345.0
"Volkswagen GLI 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",12,53095.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",1,7290.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",2,14580.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",3,21870.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",4,29160.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",5,36450.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",6,38200.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",7,39950.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",8,41700.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",9,43450.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",10,45200.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",11,46950.0
"Mazda 3 4-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",12,48700.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",1,9910.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",2,19820.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",3,29730.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",4,39640.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",5,49550.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",6,51750.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",7,53950.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",8,56150.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",9,58350.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",10,60550.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",11,62750.0
"Mazda MX-5 2.0 L, 4 cyl, Automatic (S6)",12,64950.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",1,10650.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",2,21300.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",3,31950.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",4,42600.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",5,53250.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",6,55450.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",7,57650.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",8,59850.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",9,62050.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",10,64250.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",11,66450.0
"Volvo S60 B5 2.0 L, 4 cyl, Automatic (S8), Turbo",12,68650.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",1,7649.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",2,15298.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",3,22947.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",4,30596.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",5,38245.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",6,40095.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",7,41945.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",8,43795.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",9,45645.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",10,47495.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",11,49345.0
"Subaru Crosstrek AWD 2.5 L, 4 cyl, Automatic (AV-S8)",12,51195.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",1,9225.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",2,18450.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",3,27675.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",4,36900.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",5,46125.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",6,47975.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",7,49825.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",8,51675.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",9,53525.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",10,55375.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",11,57225.0
"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",12,59075.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",1,9170.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",2,18340.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",3,27510.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",4,36680.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",5,45850.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",6,47700.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",7,49550.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",8,51400.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",9,53250.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",10,55100.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",11,56950.0
"Honda CR-V AWD 1.5 L, 4 cyl, Automatic (variable gear ratios), Turbo",12,58800.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",1,7870.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",2,15740.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",3,23610.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",4,31480.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",5,39350.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",6,41200.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",7,43050.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",8,44900.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",9,46750.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",10,48600.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",11,50450.0
"Hyundai Kona AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",12,52300.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",1,7428.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",2,14856.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",3,22284.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",4,29712.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",5,37140.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",6,38990.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",7,40840.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",8,42690.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",9,44540.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",10,46390.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",11,48240.0
"Kia Soul 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",12,50090.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",1,7484.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",2,14968.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",3,22452.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",4,29936.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",5,37420.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",6,39270.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",7,41120.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",8,42970.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",9,44820.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",10,46670.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",11,48520.0
"Honda HR-V AWD 1.8 L, 4 cyl, Automatic (variable gear ratios)",12,50370.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",1,7468.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",2,14936.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",3,22404.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",4,29872.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",5,37340.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",6,39190.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",7,41040.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",8,42890.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",9,44740.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",10,46590.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",11,48440.0
"Kia Seltos AWD 2.0 L, 4 cyl, Automatic (AV-S8)",12,50290.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",1,7310.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",2,14620.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",3,21930.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",4,29240.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",5,36550.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",6,38400.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",7,40250.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",8,42100.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",9,43950.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",10,45800.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",11,47650.0
"Toyota C-HR 2.0 L, 4 cyl, Automatic (AV-S7)",12,49500.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",1,7860.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",2,15720.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",3,23580.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",4,31440.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",5,39300.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",6,41150.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",7,43000.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",8,44850.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",9,46700.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",10,48550.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",11,50400.0
"Honda Civic 5Dr 2.0 L, 4 cyl, Manual 6-spd",12,52250.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",1,9520.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",2,19040.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",3,28560.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",4,38080.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",5,47600.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",6,49850.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",7,52100.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",8,54350.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",9,56600.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",10,58850.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",11,61100.0
"BMW 230i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",12,63350.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",1,7590.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",2,15180.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",3,22770.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",4,30360.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",5,37950.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",6,39800.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",7,41650.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",8,43500.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",9,45350.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",10,47200.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",11,49050.0
"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Automatic (S6)",12,50900.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",1,9960.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",2,19920.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",3,29880.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",4,39840.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",5,49800.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",6,52050.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",7,54300.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",8,56550.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",9,58800.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",10,61050.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",11,63300.0
"Mazda MX-5 2.0 L, 4 cyl, Manual 6-spd",12,65550.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",1,8910.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",2,17820.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",3,26730.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",4,35640.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",5,44550.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",6,46400.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",7,48250.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",8,50100.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",9,51950.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",10,53800.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",11,55650.0
"Hyundai Tucson FWD 2.5 L, 4 cyl, Automatic (S8)",12,57500.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",1,2250.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",2,4500.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",3,6750.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",4,9000.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",5,11250.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",6,13500.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",7,15750.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",8,18000.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",9,20250.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",10,22500.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",11,24750.0
"MINI Cooper Countryman 1.5 L, 3 cyl, Automatic (AM-S7), Turbo",12,27000.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",1,9049.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",2,18098.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",3,27147.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",4,36196.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",5,45245.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",6,47095.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",7,48945.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",8,50795.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",9,52645.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",10,54495.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",11,56345.0
"Subaru Forester AWD 2.5 L, 4 cyl, Automatic (AV-S7)",12,58195.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",1,9979.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",2,19958.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",3,29937.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",4,39916.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",5,49895.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",6,51745.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",7,53595.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",8,55445.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",9,57295.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",10,59145.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",11,60995.0
"Subaru Outback AWD 2.5 L, 4 cyl, Automatic (AV-S8)",12,62845.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",1,9890.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",2,19780.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",3,29670.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",4,39560.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",5,49450.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",6,51700.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",7,53950.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",8,56200.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",9,58450.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",10,60700.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",11,62950.0
"Mercedes-Benz CLA250 2.0 L, 4 cyl, Automatic (AM7), Turbo",12,65200.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",1,2250.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",2,4500.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",3,6750.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",4,9000.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",5,11250.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",6,13500.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",7,15750.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",8,18000.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",9,20250.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",10,22500.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",11,24750.0
"MINI Cooper S Clubman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",12,27000.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",1,8770.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",2,17540.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",3,26310.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",4,35080.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",5,43850.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",6,45700.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",7,47550.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",8,49400.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",9,51250.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",10,53100.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",11,54950.0
"Nissan Altima AWD SR/Platinum 2.5 L, 4 cyl, Automatic (variable gear ratios)",12,56800.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",1,8830.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",2,17660.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",3,26490.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",4,35320.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",5,44150.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",6,46400.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",7,48650.0
"MINI John Cooper Works Hardtop 2 door 2.0 L, 4 cyl, Automatic (S8), Turbo",8,50900.0
